date,actual_sales,predicted_sales
2015-01-31,19,
2015-02-28,18,
2015-03-31,18,
2015-04-30,27,
2015-05-31,27,
2015-06-30,23,
2015-07-31,29,
2015-08-31,20,
2015-09-30,15,
2015-10-31,30,
2015-11-30,5,
2015-12-31,18,
2016-01-31,14,
2016-02-29,14,
2016-03-31,17,
2016-04-30,30,
2016-05-31,18,
2016-06-30,25,
2016-07-31,31,
2016-08-31,17,
2016-09-30,23,
2016-10-31,24,
2016-11-30,19,
2016-12-31,14,
2017-01-31,17,
2017-02-28,20,
2017-03-31,13,
2017-04-30,33,
2017-05-31,20,
2017-06-30,28,
2017-07-31,22,
2017-08-31,26,
2017-09-30,30,
2017-10-31,24,
2017-11-30,15,
2017-11-30,,14.826439185756875
2017-12-31,,15.879016163577027
2018-01-31,,18.24372340634485
2018-02-28,,19.019741563862507
2018-03-31,,17.230463200541337
2018-04-30,,29.837196612563957
2018-05-31,,24.50736463207148
2018-06-30,,25.772491770309024
2018-07-31,,28.656154014080865
2018-08-31,,23.01676075739588
2018-09-30,,22.353834675243
2018-10-31,,29.47666634916674
2018-11-30,,11.853692070485465
